method,path,latency
GET,/api/events,118.82996559143066
POST,/api/events,116.28961563110352
POST,/api/events,115.87810516357422
POST,/api/events/import,119.22073364257812
POST,/api/events/quickAdd,116.2419319152832
POST,/api/events/quickAdd,113.74878883361816
POST,/api/events,116.42003059387207
POST,/api/events,114.37249183654785
POST,/api/events,117.49672889709473
POST,/api/events/watch,116.81151390075684
POST,/api/events/quickAdd,117.30551719665527
POST,/api/events/import,117.89822578430176
POST,/api/events/import,114.66693878173828
POST,/api/events,117.42568016052246
POST,/api/events/import,116.84250831604004
GET,/api/events,117.07353591918945
POST,/api/events/quickAdd,117.56730079650879
POST,/api/events/watch,113.40451240539551
POST,/api/events/watch,116.49465560913086
POST,/api/events/quickAdd,117.27690696716309
POST,/api/events/import,114.74323272705078
GET,/api/events,116.12796783447266
POST,/api/events/import,115.33761024475098
POST,/api/events/watch,116.6834831237793
POST,/api/events/quickAdd,116.8358325958252
POST,/api/events/quickAdd,115.68450927734375
GET,/api/events,117.66743659973145
POST,/api/events/quickAdd,115.264892578125
POST,/api/events,115.9524917602539
POST,/api/events/quickAdd,115.17477035522461
POST,/api/events/import,122.94363975524902
GET,/api/events,123.20733070373535
GET,/api/events,125.62322616577148
GET,/api/events,122.46179580688477
POST,/api/events/watch,122.0083236694336
GET,/api/events,123.76713752746582
POST,/api/events/watch,123.95596504211426
POST,/api/events,123.08740615844727
POST,/api/events/watch,121.80495262145996
POST,/api/events/quickAdd,123.49319458007812
POST,/api/events,122.64466285705566
POST,/api/events,124.79996681213379
POST,/api/events/import,122.33829498291016
POST,/api/events,122.88832664489746
GET,/api/events,123.8107681274414
POST,/api/events/quickAdd,122.05982208251953
POST,/api/events/import,120.77999114990234
POST,/api/events/watch,125.38790702819824
POST,/api/events/import,122.46298789978027
POST,/api/events/quickAdd,123.08549880981445
POST,/api/events,123.7483024597168
POST,/api/events/quickAdd,121.8099594116211
POST,/api/events,124.99022483825684
POST,/api/events,125.00405311584473
POST,/api/events/quickAdd,122.55501747131348
POST,/api/events/quickAdd,121.64306640625
POST,/api/events/quickAdd,121.55532836914062
GET,/api/events,121.87480926513672
GET,/api/events,120.9723949432373
POST,/api/events/import,122.65372276306152
POST,/api/events/import,128.50689888000488
GET,/api/events,127.37321853637695
GET,/api/events,128.8464069366455
GET,/api/events,128.72004508972168
GET,/api/events,124.26161766052246
POST,/api/events/import,127.74538993835449
GET,/api/events,126.42121315002441
POST,/api/events/quickAdd,127.72250175476074
POST,/api/events/import,128.1135082244873
POST,/api/events/quickAdd,126.56116485595703
GET,/api/events,129.99749183654785
POST,/api/events/import,127.99644470214844
POST,/api/events/watch,129.1959285736084
GET,/api/events,129.62651252746582
GET,/api/events,125.90932846069336
GET,/api/events,124.61447715759277
GET,/api/events,128.16166877746582
POST,/api/events/quickAdd,128.0043125152588
POST,/api/events/quickAdd,127.6254653930664
POST,/api/events/watch,125.52428245544434
GET,/api/events,126.8167495727539
POST,/api/events/watch,129.25291061401367
GET,/api/events,127.40325927734375
POST,/api/events/quickAdd,125.95868110656738
POST,/api/events/import,128.0984878540039
POST,/api/events/watch,128.27277183532715
POST,/api/events,126.62100791931152
POST,/api/events/import,127.61569023132324
POST,/api/events/watch,127.68411636352539
GET,/api/events,127.81119346618652
POST,/api/events,135.75267791748047
POST,/api/events,134.60326194763184
GET,/api/events,133.5463523864746
POST,/api/events/import,134.50312614440918
POST,/api/events/import,132.57551193237305
POST,/api/events/import,134.5078945159912
GET,/api/events,136.35730743408203
GET,/api/events,138.71192932128906
POST,/api/events/quickAdd,134.69386100769043
POST,/api/events,134.4928741455078
POST,/api/events,133.15367698669434
POST,/api/events,135.38551330566406
POST,/api/events/watch,132.91406631469727
POST,/api/events/import,133.81266593933105
POST,/api/events/import,132.57789611816406
POST,/api/events/quickAdd,137.68911361694336
POST,/api/events/quickAdd,133.40187072753906
POST,/api/events/watch,134.4130039215088
POST,/api/events/quickAdd,131.7727565765381
POST,/api/events/watch,135.1008415222168
POST,/api/events/quickAdd,133.06403160095215
POST,/api/events/watch,135.1754665374756
POST,/api/events/watch,130.9809684753418
POST,/api/events/watch,131.81281089782715
GET,/api/events,134.7644329071045
GET,/api/events,133.3475112915039
POST,/api/events/watch,134.01412963867188
POST,/api/events/quickAdd,134.44137573242188
POST,/api/events/watch,134.5500946044922
POST,/api/events/import,132.72476196289062
GET,/api/events,140.57636260986328
POST,/api/events,142.73929595947266
POST,/api/events/watch,137.45641708374023
POST,/api/events/quickAdd,137.62164115905762
POST,/api/events/quickAdd,137.4673843383789
POST,/api/events/import,139.65821266174316
POST,/api/events/watch,138.33951950073242
GET,/api/events,140.42258262634277
POST,/api/events/import,140.52224159240723
POST,/api/events,142.3053741455078
POST,/api/events/import,138.97132873535156
POST,/api/events,137.16387748718262
POST,/api/events/import,138.9296054840088
POST,/api/events/quickAdd,140.3191089630127
POST,/api/events,139.4214630126953
POST,/api/events/quickAdd,140.6381130218506
POST,/api/events/quickAdd,138.3202075958252
POST,/api/events/watch,139.70327377319336
POST,/api/events,138.52167129516602
POST,/api/events/quickAdd,144.14501190185547
GET,/api/events,136.95764541625977
POST,/api/events/watch,138.41509819030762
GET,/api/events,137.85386085510254
POST,/api/events/import,150.0248908996582
POST,/api/events/quickAdd,141.14022254943848
GET,/api/events,136.77620887756348
POST,/api/events,140.9153938293457
POST,/api/events/quickAdd,138.63062858581543
POST,/api/events/watch,140.63477516174316
POST,/api/events,134.08541679382324
POST,/api/events/watch,149.08409118652344
POST,/api/events/watch,143.39113235473633
POST,/api/events/import,143.18537712097168
POST,/api/events/import,145.54643630981445
GET,/api/events,147.10021018981934
GET,/api/events,148.19025993347168
POST,/api/events/import,144.03939247131348
POST,/api/events/import,145.74432373046875
POST,/api/events/import,144.9871063232422
POST,/api/events/quickAdd,147.8903293609619
GET,/api/events,143.89562606811523
POST,/api/events/import,142.87710189819336
POST,/api/events/quickAdd,143.43905448913574
GET,/api/events,145.03169059753418
GET,/api/events,144.6053981781006
GET,/api/events,147.18937873840332
POST,/api/events/watch,144.2720890045166
POST,/api/events/watch,145.48373222351074
POST,/api/events,144.6070671081543
POST,/api/events/quickAdd,144.4988250732422
POST,/api/events/import,146.5470790863037
POST,/api/events/import,163.665771484375
POST,/api/events/watch,144.98591423034668
POST,/api/events/import,144.83880996704102
POST,/api/events/watch,143.9065933227539
GET,/api/events,144.5164680480957
POST,/api/events/quickAdd,141.51310920715332
POST,/api/events,144.91963386535645
POST,/api/events/import,147.90797233581543
POST,/api/events,146.88920974731445
POST,/api/events/import,151.61538124084473
POST,/api/events/import,151.4301300048828
POST,/api/events/quickAdd,148.74863624572754
POST,/api/events/quickAdd,152.5130271911621
POST,/api/events/watch,152.73499488830566
POST,/api/events/import,154.61039543151855
POST,/api/events/watch,152.2841453552246
POST,/api/events,155.0610065460205
POST,/api/events/quickAdd,150.22993087768555
POST,/api/events/import,151.8230438232422
GET,/api/events,149.7802734375
POST,/api/events/quickAdd,152.12607383728027
POST,/api/events,154.36148643493652
GET,/api/events,153.20754051208496
POST,/api/events/import,153.6092758178711
POST,/api/events/quickAdd,150.7108211517334
POST,/api/events/watch,151.08418464660645
POST,/api/events,150.57921409606934
POST,/api/events/import,151.2157917022705
POST,/api/events/import,148.2536792755127
POST,/api/events/watch,151.3516902923584
POST,/api/events/quickAdd,149.6574878692627
POST,/api/events/import,149.40142631530762
POST,/api/events/import,149.75643157958984
POST,/api/events/import,152.70328521728516
POST,/api/events/import,149.19543266296387
POST,/api/events,147.52483367919922
POST,/api/events/import,152.998685836792
POST,/api/events/watch,153.89156341552734
GET,/api/events,148.3006477355957
POST,/api/events/import,105.73053359985352
GET,/api/events,105.05557060241699
POST,/api/events/quickAdd,105.60417175292969
POST,/api/events/import,106.17446899414062
POST,/api/events/quickAdd,106.18805885314941
GET,/api/events,104.30669784545898
POST,/api/events,105.53169250488281
POST,/api/events/watch,103.43527793884277
GET,/api/events,105.8955192565918
POST,/api/events/quickAdd,104.86006736755371
POST,/api/events,104.81047630310059
GET,/api/events,105.39937019348145
POST,/api/events/quickAdd,106.86182975769043
POST,/api/events/watch,105.69643974304199
POST,/api/events,105.7898998260498
POST,/api/events/watch,105.82661628723145
POST,/api/events,105.19194602966309
POST,/api/events/watch,105.02195358276367
POST,/api/events/quickAdd,104.30788993835449
POST,/api/events/quickAdd,105.50808906555176
POST,/api/events,104.94780540466309
POST,/api/events/quickAdd,105.00264167785645
GET,/api/events,103.30963134765625
POST,/api/events/watch,105.78751564025879
POST,/api/events/import,105.50165176391602
POST,/api/events/watch,104.20632362365723
POST,/api/events/watch,105.70597648620605
POST,/api/events,105.97395896911621
POST,/api/events,105.52978515625
POST,/api/events/quickAdd,106.19330406188965
GET,/api/events,103.76930236816406
GET,/api/events,104.47311401367188
POST,/api/events/quickAdd,105.54003715515137
POST,/api/events/quickAdd,104.01415824890137
POST,/api/events/watch,105.59773445129395
POST,/api/events/quickAdd,102.85425186157227
POST,/api/events/quickAdd,105.66091537475586
POST,/api/events/watch,105.32140731811523
POST,/api/events,105.70836067199707
POST,/api/events/import,103.83462905883789
GET,/api/events,103.51204872131348
POST,/api/events/watch,105.74054718017578
GET,/api/events,105.63015937805176
POST,/api/events/quickAdd,105.89456558227539
GET,/api/events,105.73744773864746
GET,/api/events,104.78067398071289
POST,/api/events/import,106.51612281799316
GET,/api/events,104.68649864196777
POST,/api/events/watch,106.08458518981934
GET,/api/events,105.59248924255371
GET,/api/events,105.94320297241211
POST,/api/events,103.0430793762207
POST,/api/events/quickAdd,106.04381561279297
POST,/api/events/watch,104.25996780395508
POST,/api/events,103.69396209716797
GET,/api/events,105.23724555969238
POST,/api/events,106.54091835021973
POST,/api/events/import,105.49378395080566
POST,/api/events/import,105.00860214233398
POST,/api/events/watch,104.41160202026367
POST,/api/events/import,106.14156723022461
GET,/api/events,104.32887077331543
POST,/api/events/quickAdd,106.05478286743164
POST,/api/events/import,104.97879981994629
POST,/api/events,103.96313667297363
POST,/api/events/watch,105.66377639770508
POST,/api/events/quickAdd,106.17780685424805
POST,/api/events/import,103.76214981079102
POST,/api/events,104.11977767944336
POST,/api/events/import,105.01742362976074
POST,/api/events/watch,105.74579238891602
POST,/api/events/watch,105.49235343933105
POST,/api/events,106.49895668029785
POST,/api/events/import,105.91316223144531
POST,/api/events,102.93364524841309
POST,/api/events,105.78751564025879
POST,/api/events/quickAdd,104.44355010986328
GET,/api/events,104.30192947387695
POST,/api/events/import,105.26251792907715
POST,/api/events/watch,104.92229461669922
GET,/api/events,104.51984405517578
POST,/api/events/watch,106.08434677124023
POST,/api/events/watch,102.97775268554688
POST,/api/events/watch,105.38697242736816
POST,/api/events/quickAdd,105.37171363830566
POST,/api/events/watch,105.35621643066406
POST,/api/events/quickAdd,105.74150085449219
POST,/api/events/watch,106.22358322143555
POST,/api/events,106.18710517883301
POST,/api/events/import,105.99541664123535
